(272,295), (197,203), (105,143), (66,177), (240,197), (287,445), (84,109), (345,315), (225,195), (297,431)
(291,276), (223,323), (135,249), (309,422), (278,390), (343,413), (293,189), (58,130), (88,149), (196,170)
(159,250), (148,84), (321,378), (167,256), (116,200), (54,116), (155,291), (296,211), (179,363), (246,137)
(96,73), (326,192), (291,397), (328,319), (129,220), (171,256), (163,227), (194,373), (148,208), (113,128)
(287,425), (205,271), (92,182), (148,247), (199,95), (188,299), (193,388), (161,304), (37,127), (289,171)
(323,241), (241,370), (224,231), (145,138), (276,183), (305,325), (198,227), (267,446), (174,325), (239,412)
(48,93), (119,72), (63,81), (303,325), (283,256), (189,327), (173,357), (163,294), (159,292), (219,148)
(257,269), (160,103), (45,167), (217,102), (58,104), (111,142), (161,295), (196,105), (300,468), (192,246)
(104,252), (161,194), (106,114), (68,98), (156,89), (217,357), (84,180), (286,181), (137,285), (255,267)
(299,398), (284,308), (270,228), (283,305), (193,218), (69,129), (267,398), (69,154), (59,138), (174,142)
(300,412), (56,142), (185,181), (68,136), (250,418), (44,145), (83,123), (130,88), (130,298), (173,247)
(346,293), (153,286), (306,335), (185,151), (299,221), (165,278), (205,391), (311,266), (329,493), (338,380)
(323,291), (105,124), (335,333), (250,400), (189,297), (304,423), (212,392), (176,301), (192,224), (246,257)
(282,284), (300,466), (97,62), (285,154), (304,283), (149,61), (265,221), (170,264), (251,208), (139,96)
(117,58), (223,146), (207,394), (322,281), (235,323), (329,314), (229,149), (145,144), (151,276), (119,127)
(322,396), (225,213), (187,185), (192,378), (65,58), (206,96), (302,354), (237,363), (222,266), (339,282)
(158,119), (194,119), (109,161), (189,318), (76,167), (184,281), (224,183), (57,72), (107,240), (176,317)
(212,375), (225,114), (199,393), (63,164), (143,136), (328,254), (56,78), (230,234), (275,389), (323,352)
(280,375), (348,273), (241,370), (252,189), (299,343), (176,252), (198,187), (345,267), (273,389), (328,442)
(330,500), (243,404), (317,323), (142,256), (218,262), (302,289), (322,454), (170,341), (337,237), (46,57)
(266,166), (175,92), (187,352), (193,175), (287,406), (177,116), (137,109), (238,235), (40,103), (150,197)
(160,87), (339,362), (283,292), (339,335), (249,427), (28,138), (240,334), (262,200), (279,353), (277,314)
(337,450), (141,272), (103,153), (336,347), (160,342), (328,409), (283,407), (274,373), (297,244), (306,386)
(261,384), (191,106), (229,346), (93,134), (319,261), (288,266), (232,225), (130,150), (118,230), (130,139)
(195,112), (333,422), (190,304), (234,356), (180,249), (116,122), (196,126), (151,163), (107,181), (306,451)
(328,186), (101,194), (260,301), (289,461), (168,104), (203,198), (249,342), (289,281), (191,148), (292,425)
(162,263), (170,213), (27,132), (137,196), (133,74), (25,117), (132,211), (256,430), (303,398), (203,123)
(165,291), (282,472), (339,404), (314,375), (243,391), (314,201), (258,320), (234,398), (321,357), (223,361)
(250,154), (333,430), (141,136), (25,122), (86,163), (72,199), (114,164), (151,163), (167,339), (191,206)
(141,130), (268,401), (153,275), (35,92), (323,448), (63,106), (36,83), (229,402), (303,248), (298,423)
(72,83), (275,268), (135,201), (96,180), (232,272), (340,208), (35,89), (206,244), (30,67), (192,348)
(242,226), (205,390), (108,101), (305,409), (299,353), (292,172), (290,329), (202,344), (206,355), (197,325)
